dataset,apk,file_path,sha256,status,runtime_seconds,hardcoded_secrets_detected,network_issues_detected,cryptographic_issues_detected,report_path,error
Ghera,WebViewAllowContentAccess-UnauthorizedFileAccess-Lean-secure.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebViewAllowContentAccess-UnauthorizedFileAccess-Lean\Secure\WebViewAllowContentAccess-UnauthorizedFileAccess-Lean-secure.apk,88c01db2bb73b5a1c43bc83aecf0275b6a4a449ac3c85a48013275434e3a6737,completed,7.919,0,3,37,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\88c01db2bb73b5a1c43bc83aecf0275b6a4a449ac3c85a48013275434e3a6737\reports\report_WebViewAllowContentAccess-UnauthorizedFileAccess-Lean-secure.json,
Ghera,WebViewAllowFileAccess-UnauthorizedFileAccess-Lean-benign.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebViewAllowFileAccess-UnauthorizedFileAccess-Lean\Benign\WebViewAllowFileAccess-UnauthorizedFileAccess-Lean-benign.apk,c7d545f102ffe737e09f9003f72d0402e4b075e6182ab8df36ea4a8a3de1e26c,completed,7.991,0,5,38,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\c7d545f102ffe737e09f9003f72d0402e4b075e6182ab8df36ea4a8a3de1e26c\reports\report_WebViewAllowFileAccess-UnauthorizedFileAccess-Lean-benign.json,
Ghera,WebViewAllowFileAccess-UnauthorizedFileAccess-Lean-secure.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebViewAllowFileAccess-UnauthorizedFileAccess-Lean\Secure\WebViewAllowFileAccess-UnauthorizedFileAccess-Lean-secure.apk,e997d66b222bce0b2004264cdbc708f998417a47994c67429303adc741290912,completed,7.871,0,4,37,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\e997d66b222bce0b2004264cdbc708f998417a47994c67429303adc741290912\reports\report_WebViewAllowFileAccess-UnauthorizedFileAccess-Lean-secure.json,
Ghera,WebViewIgnoreSSLWarning-MITM-Lean-benign.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebViewIgnoreSSLWarning-MITM-Lean\Benign\WebViewIgnoreSSLWarning-MITM-Lean-benign.apk,b25f3fa0a270bd87bbbae492e04efa4c365a4db0f065ad792dc7c6f4f614af6c,completed,8.533,0,4,41,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\b25f3fa0a270bd87bbbae492e04efa4c365a4db0f065ad792dc7c6f4f614af6c\reports\report_WebViewIgnoreSSLWarning-MITM-Lean-benign.json,
Ghera,WebViewIgnoreSSLWarning-MITM-Lean-secure.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebViewIgnoreSSLWarning-MITM-Lean\Secure\WebViewIgnoreSSLWarning-MITM-Lean-secure.apk,ec96a9f03a458a88025d819841cb5342ce14b41d48e9f38260d5caa28815717a,completed,7.881,0,4,37,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\ec96a9f03a458a88025d819841cb5342ce14b41d48e9f38260d5caa28815717a\reports\report_WebViewIgnoreSSLWarning-MITM-Lean-secure.json,
Ghera,WebViewInterceptRequest-MITM-Lean-benign.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebViewInterceptRequest-MITM-Lean\Benign\WebViewInterceptRequest-MITM-Lean-benign.apk,45af278992cb728dabfbba7203a9beef366925ccce37dd91fa473e525edd9e76,completed,8.107,0,5,41,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\45af278992cb728dabfbba7203a9beef366925ccce37dd91fa473e525edd9e76\reports\report_WebViewInterceptRequest-MITM-Lean-benign.json,
Ghera,WebViewInterceptRequest-MITM-Lean-secure.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebViewInterceptRequest-MITM-Lean\Secure\WebViewInterceptRequest-MITM-Lean-secure.apk,b9daf0a3e66d88fc561f09f72bab2e9a3f5e44ed7600259792c1c69bcc79642b,completed,8.016,0,6,41,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\b9daf0a3e66d88fc561f09f72bab2e9a3f5e44ed7600259792c1c69bcc79642b\reports\report_WebViewInterceptRequest-MITM-Lean-secure.json,
Ghera,WebViewLoadDataWithBaseUrl-UnauthorizedFileAccess-Lean-benign.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebViewLoadDataWithBaseUrl-UnauthorizedFileAccess-Lean\Benign\WebViewLoadDataWithBaseUrl-UnauthorizedFileAccess-Lean-benign.apk,5347461bbb2b2abe1f7ba3931e24a10fe8397351998ea3040b5750d49ae567da,completed,8.329,0,6,39,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\5347461bbb2b2abe1f7ba3931e24a10fe8397351998ea3040b5750d49ae567da\reports\report_WebViewLoadDataWithBaseUrl-UnauthorizedFileAccess-Lean-benign.json,
Ghera,WebViewLoadDataWithBaseUrl-UnauthorizedFileAccess-Lean-secure.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebViewLoadDataWithBaseUrl-UnauthorizedFileAccess-Lean\Secure\WebViewLoadDataWithBaseUrl-UnauthorizedFileAccess-Lean-secure.apk,38872d2a095db2d461bacac29841b50deb4e9691a9b6a10d0670734e70a3a27c,completed,7.890,0,6,38,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\38872d2a095db2d461bacac29841b50deb4e9691a9b6a10d0670734e70a3a27c\reports\report_WebViewLoadDataWithBaseUrl-UnauthorizedFileAccess-Lean-secure.json,
Ghera,WebViewOverrideUrl-MITM-Lean-benign.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebViewOverrideUrl-MITM-Lean\Benign\WebViewOverrideUrl-MITM-Lean-benign.apk,d72e53a60074c6182dfa5523f0836526c6cbb60a32b0c657e2fa7f8df919e586,completed,8.374,0,3,40,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\d72e53a60074c6182dfa5523f0836526c6cbb60a32b0c657e2fa7f8df919e586\reports\report_WebViewOverrideUrl-MITM-Lean-benign.json,
Ghera,WebViewOverrideUrl-MITM-Lean-secure.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebViewOverrideUrl-MITM-Lean\Secure\WebViewOverrideUrl-MITM-Lean-secure.apk,7fed5501c957260adfd203fdcb6bd0a27d227d46728631d3bbda7dc7e346f2bf,completed,7.912,0,4,36,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\7fed5501c957260adfd203fdcb6bd0a27d227d46728631d3bbda7dc7e346f2bf\reports\report_WebViewOverrideUrl-MITM-Lean-secure.json,
Ghera,WebViewProceed-UnauthorizedAccess-Lean-benign.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebViewProceed-UnauthorizedAccess-Lean\Benign\WebViewProceed-UnauthorizedAccess-Lean-benign.apk,f23af74fa0d296120fc16ecb566c6d2553474fe51ca5d615a0e528df1afe60d7,completed,8.915,0,6,42,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\f23af74fa0d296120fc16ecb566c6d2553474fe51ca5d615a0e528df1afe60d7\reports\report_WebViewProceed-UnauthorizedAccess-Lean-benign.json,
Ghera,WebViewProceed-UnauthorizedAccess-Lean-malicious.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebViewProceed-UnauthorizedAccess-Lean\Malicious\WebViewProceed-UnauthorizedAccess-Lean-malicious.apk,935d2b02ec892e05f85a9e79a576696219d87b06aca4635b246c0714184ecaf4,completed,8.055,0,2,35,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\935d2b02ec892e05f85a9e79a576696219d87b06aca4635b246c0714184ecaf4\reports\report_WebViewProceed-UnauthorizedAccess-Lean-malicious.json,
Ghera,WebViewProceed-UnauthorizedAccess-Lean-secure.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebViewProceed-UnauthorizedAccess-Lean\Secure\WebViewProceed-UnauthorizedAccess-Lean-secure.apk,f4151b100f8d5050707ca9dfd04417569dc4a5d730d2a63bf4bda993f599db4a,completed,7.968,0,4,38,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\f4151b100f8d5050707ca9dfd04417569dc4a5d730d2a63bf4bda993f599db4a\reports\report_WebViewProceed-UnauthorizedAccess-Lean-secure.json,
DroidBench,EventOrdering1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\Lifecycle\EventOrdering1.apk,743f56c2a0a3ebc60c59762a068679fc78160e7c58d136f2c3a63aae4a5050b5,completed,3.171,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\743f56c2a0a3ebc60c59762a068679fc78160e7c58d136f2c3a63aae4a5050b5\reports\report_EventOrdering1.json,
