dataset,apk,scan_id,runtime_seconds,export_time_seconds,cpu_percent,ram_mb,apk_size_bytes,export_bytes_total,concurrency,throughput_apks_per_minute,report_success,pdf_success,json_success,sarif_success
DroidBench,StringPatternMatching1.apk,0afb2c65-ce0d-4e1c-9fff-0bbf22f5cf6a,2.028,2.288,105.31,309.95,36730,77140,1,6.705631466708791,true,true,true,true
DroidBench,StringToCharArray1.apk,e4be74bd-90ed-42c0-886f-bdcf6e5f0068,2.075,2.321,79.63,285.43,36786,77105,1,6.705631466708791,true,true,true,true
DroidBench,StringToOutputStream1.apk,bb91ac44-5f77-4eb5-9f8e-9a6cb3ad5ac9,2.215,2.308,135.62,238.87,36674,77423,1,6.705631466708791,true,true,true,true
DroidBench,UnreachableCode.apk,e147eb37-e354-4ee8-8769-13e9ff37623c,4.799,2.311,189.45,316.91,178641,76815,1,6.705631466708791,true,true,true,true
DroidBench,VirtualDispatch1.apk,35e8c26e-b5c1-45a5-a5f6-8ebe7bcd2cab,4.569,2.263,181.50,314.99,179300,77518,1,6.705631466708791,true,true,true,true
DroidBench,VirtualDispatch2.apk,62ebc0b7-8f85-42d5-a0b1-225d9bcb55db,2.263,2.338,71.17,271.79,37006,77421,1,6.705631466708791,true,true,true,true
DroidBench,VirtualDispatch3.apk,0ffaa3c8-f344-4616-b754-74775ea9456f,10.299,2.355,73.80,251.23,801299,76925,1,6.705631466708791,true,true,true,true
DroidBench,VirtualDispatch4.apk,e067e4f9-145d-4351-9de6-8dc977d5c623,11.069,2.301,68.51,266.06,801367,76812,1,6.705631466708791,true,true,true,true
DroidBench,ImplicitFlow1.apk,9c15a3bf-d15b-494f-88d8-cf5b9248255e,4.824,2.27,210.06,321.29,179982,76923,1,6.705631466708791,true,true,true,true
DroidBench,ImplicitFlow2.apk,93a8603a-a968-45e5-ba7c-fb21321e177b,4.337,2.354,215.15,329.15,179112,76815,1,6.705631466708791,true,true,true,true
DroidBench,ImplicitFlow3.apk,e87a1022-a23a-4d85-91b6-e6afbe4e3b86,4.737,2.279,52.36,273.24,179777,77104,1,6.705631466708791,true,true,true,true
DroidBench,ImplicitFlow4.apk,d1639f15-07f4-478d-b4dc-148d2c5bf5eb,4.360,2.278,187.51,326.55,179393,77210,1,6.705631466708791,true,true,true,true
DroidBench,Echoer.apk,01f9b14e-089d-4636-be60-22060e437672,5.388,2.268,65.89,286.92,254783,71651,1,6.705631466708791,true,true,true,true
DroidBench,SendSMS.apk,268c07c8-dbd4-49e0-ae5a-6cd0eb473fac,5.645,2.301,194.22,328.42,254975,71651,1,6.705631466708791,true,true,true,true
DroidBench,StartActivityForResult1.apk,9272d9d0-3ea9-4aca-af1d-3afb512a04cc,5.685,2.304,55.48,265.14,255131,71756,1,6.705631466708791,true,true,true,true
DroidBench,ActivityCommunication1.apk,d2f547c7-03ad-42ca-963b-d2ca1935e27e,4.335,2.305,191.53,324.51,180101,78895,1,6.705631466708791,true,true,true,true
DroidBench,ActivityCommunication2.apk,a8e6f447-8947-4274-9d0d-cfa4f382c02f,6.201,2.289,45.59,267.45,280436,82400,1,6.705631466708791,true,true,true,true
DroidBench,ActivityCommunication3.apk,6f678eb1-59b3-444a-9c17-5d0f576b5279,6.688,2.392,127.13,289.87,280459,82716,1,6.705631466708791,true,true,true,true
DroidBench,ActivityCommunication4.apk,bc639ecd-3d8e-4cff-b52b-deee440c910e,7.047,2.35,48.72,264.35,280455,82399,1,6.705631466708791,true,true,true,true
DroidBench,ActivityCommunication5.apk,de356775-66d2-423e-a749-0555304945c1,6.703,2.373,88.67,290.90,280294,77419,1,6.705631466708791,true,true,true,true
DroidBench,ActivityCommunication6.apk,0273484f-1218-49b8-9d29-8bf46966d078,6.615,2.335,77.26,266.06,280494,82506,1,6.705631466708791,true,true,true,true
